experience_type,emotion_type,problem_type,situation,speaker,strategy,feedback,content
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"Hey there
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"How are you?
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Other,,hi
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Questions,,"I AM FINE, AND YOU"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,4,"I am depressed about the Covid-19 pandemic
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Other,,"Please, how can I help? I am with you"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"I am having a hard time doing the things I enjoy and I don't know why
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Other,,"hello
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Other,,"hello
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,1,"Hey
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Questions,,Are you there? I am with you
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"Do you have any suggestions for things I can do that might make me happy?
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Affirmation and Reassurance,,"It seems you are in need of help
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,5,"Yes, I am.
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"I need help getting motivated
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Reflection of feelings,,Can we have a nice time to dialogue? Sharing of problems really solves issues.  
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"You are right, it does help.
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"I am bored staying at home all the time, I don't know what to do with my time
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Other,,"hello
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,1,"I am still here
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Providing Suggestions,,"it will be a good  time to chat with you, let us a chat together 
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,speaker,,,"What do you like to do for fun?
"
Current Experience,depression,ongoing depression,General depression made worse by the ongoing pandemic in my country.,listener,Information,,"you can end the chat , or I do now 
"
